title,content,excerpt,slug,sku,unit_price,discount_price,quantity,weight,width,height,enabled,featured_image,gallery,categories,brands,collections,tags,attributes,variations
"Classic Cotton T-Shirt","Premium quality 100% organic cotton t-shirt. Comfortable fit for everyday wear. Machine washable.","Soft organic cotton tee","classic-cotton-tshirt","TSH-001",29.99,24.99,200,0.3,25,30,1,"https://picsum.photos/seed/tsh1/600/600","https://picsum.photos/seed/tsh2/600/600|https://picsum.photos/seed/tsh3/600/600","Apparel|T-Shirts","FashionBasic","Summer 2026","best-seller|cotton","{""color"":""White,Black,Navy,Red,Forest"",""size"":""XS,S,M,L,XL,XXL""}","[{""sku"":""TSH-001-W-S"",""price"":""29.99"",""quantity"":""15"",""attributes"":{""color"":""White"",""size"":""S""}},{""sku"":""TSH-001-W-M"",""price"":""29.99"",""quantity"":""20"",""attributes"":{""color"":""White"",""size"":""M""}},{""sku"":""TSH-001-W-L"",""price"":""29.99"",""quantity"":""18"",""attributes"":{""color"":""White"",""size"":""L""}},{""sku"":""TSH-001-W-XL"",""price"":""32.99"",""quantity"":""12"",""attributes"":{""color"":""White"",""size"":""XL""}},{""sku"":""TSH-001-BK-S"",""price"":""29.99"",""quantity"":""10"",""attributes"":{""color"":""Black"",""size"":""S""}},{""sku"":""TSH-001-BK-M"",""price"":""29.99"",""quantity"":""22"",""attributes"":{""color"":""Black"",""size"":""M""}},{""sku"":""TSH-001-BK-L"",""price"":""29.99"",""quantity"":""17"",""attributes"":{""color"":""Black"",""size"":""L""}},{""sku"":""TSH-001-NA-S"",""price"":""29.99"",""quantity"":""8"",""attributes"":{""color"":""Navy"",""size"":""S""}},{""sku"":""TSH-001-NA-M"",""price"":""29.99"",""quantity"":""14"",""attributes"":{""color"":""Navy"",""size"":""M""}},{""sku"":""TSH-001-NA-L"",""price"":""29.99"",""quantity"":""11"",""attributes"":{""color"":""Navy"",""size"":""L""}},{""sku"":""TSH-001-R-S"",""price"":""29.99"",""quantity"":""6"",""attributes"":{""color"":""Red"",""size"":""S""}},{""sku"":""TSH-001-R-M"",""price"":""29.99"",""quantity"":""9"",""attributes"":{""color"":""Red"",""size"":""M""}},{""sku"":""TSH-001-R-L"",""price"":""29.99"",""quantity"":""7"",""attributes"":{""color"":""Red"",""size"":""L""}},{""sku"":""TSH-001-FR-S"",""price"":""29.99"",""quantity"":""5"",""attributes"":{""color"":""Forest"",""size"":""S""}},{""sku"":""TSH-001-FR-M"",""price"":""29.99"",""quantity"":""8"",""attributes"":{""color"":""Forest"",""size"":""M""}},{""sku"":""TSH-001-FR-L"",""price"":""29.99"",""quantity"":""6"",""attributes"":{""color"":""Forest"",""size"":""L""}}]"
"Slim Fit Jeans","Modern slim fit jeans with stretch denim. Mid-rise waist, five-pocket styling. Available in multiple washes.","Stretch denim slim jeans","slim-fit-jeans","JN-001",59.99,49.99,150,0.8,35,32,1,"https://picsum.photos/seed/jn1/600/600","https://picsum.photos/seed/jn2/600/600|https://picsum.photos/seed/jn3/600/600","Apparel|Bottoms","DenimPro","Fall 2026","new-arrival|denim","{""color"":""Indigo,Black,Washed"",""waist"":""28,30,32,34,36,38""}","[{""sku"":""JN-001-IN-30"",""price"":""59.99"",""quantity"":""12"",""attributes"":{""color"":""Indigo"",""waist"":""30""}},{""sku"":""JN-001-IN-32"",""price"":""59.99"",""quantity"":""20"",""attributes"":{""color"":""Indigo"",""waist"":""32""}},{""sku"":""JN-001-IN-34"",""price"":""59.99"",""quantity"":""15"",""attributes"":{""color"":""Indigo"",""waist"":""34""}},{""sku"":""JN-001-BK-30"",""price"":""59.99"",""quantity"":""8"",""attributes"":{""color"":""Black"",""waist"":""30""}},{""sku"":""JN-001-BK-32"",""price"":""59.99"",""quantity"":""14"",""attributes"":{""color"":""Black"",""waist"":""32""}},{""sku"":""JN-001-BK-34"",""price"":""59.99"",""quantity"":""10"",""attributes"":{""color"":""Black"",""waist"":""34""}},{""sku"":""JN-001-WS-30"",""price"":""49.99"",""quantity"":""6"",""attributes"":{""color"":""Washed"",""waist"":""30""}},{""sku"":""JN-001-WS-32"",""price"":""49.99"",""quantity"":""11"",""attributes"":{""color"":""Washed"",""waist"":""32""}}]"
"Wool Blend Sweater","Luxurious wool blend sweater for cold weather. Ribbed cuffs and hem. Crew neck design.","Warm wool blend crew neck","wool-blend-sweater","SW-001",79.99,64.99,80,0.5,28,32,1,"https://picsum.photos/seed/sw1/600/600","https://picsum.photos/seed/sw2/600/600","Apparel|Sweaters","CozyWear","Winter 2026","warm|premium","{""color"":""Charcoal,Cream,Burgundy"",""size"":""S,M,L,XL""}","[{""sku"":""SW-001-CH-M"",""price"":""79.99"",""quantity"":""12"",""attributes"":{""color"":""Charcoal"",""size"":""M""}},{""sku"":""SW-001-CH-L"",""price"":""79.99"",""quantity"":""10"",""attributes"":{""color"":""Charcoal"",""size"":""L""}},{""sku"":""SW-001-CR-M"",""price"":""79.99"",""quantity"":""8"",""attributes"":{""color"":""Cream"",""size"":""M""}},{""sku"":""SW-001-CR-L"",""price"":""79.99"",""quantity"":""7"",""attributes"":{""color"":""Cream"",""size"":""L""}},{""sku"":""SW-001-BU-M"",""price"":""79.99"",""quantity"":""6"",""attributes"":{""color"":""Burgundy"",""size"":""M""}},{""sku"":""SW-001-BU-L"",""price"":""79.99"",""quantity"":""5"",""attributes"":{""color"":""Burgundy"",""size"":""L""}}]"
"Leather Crossbody Bag","Handcrafted genuine leather crossbody bag. Adjustable strap, multiple compartments. Perfect for daily use.","Genuine leather crossbody","leather-crossbody-bag","BG-001",89.99,74.99,60,0.6,20,15,1,"https://picsum.photos/seed/bg1/600/600","https://picsum.photos/seed/bg2/600/600|https://picsum.photos/seed/bg3/600/600","Accessories|Bags","LeatherCraft","Summer 2026","bestseller|handmade","{""color"":""Tan,Black,Brown""}","[{""sku"":""BG-001-TN"",""price"":""89.99"",""quantity"":""15"",""attributes"":{""color"":""Tan""}},{""sku"":""BG-001-BK"",""price"":""89.99"",""quantity"":""20"",""attributes"":{""color"":""Black""}},{""sku"":""BG-001-BN"",""price"":""89.99"",""quantity"":""12"",""attributes"":{""color"":""Brown""}}]"
"Wireless Bluetooth Earbuds","High-quality wireless earbuds with noise cancellation. 8 hours battery life. IPX5 water resistant. USB-C charging case included.","Premium wireless earbuds ANC","wireless-bluetooth-earbuds","EB-001",129.99,99.99,250,0.08,6,4,1,"https://picsum.photos/seed/eb1/600/600","https://picsum.photos/seed/eb2/600/600|https://picsum.photos/seed/eb3/600/600","Electronics|Audio","SoundWave","New Arrivals","best-seller|wireless","{""color"":""White,Black,Matte Green""}","[{""sku"":""EB-001-WH"",""price"":""129.99"",""quantity"":""50"",""attributes"":{""color"":""White""}},{""sku"":""EB-001-BK"",""price"":""129.99"",""quantity"":""45"",""attributes"":{""color"":""Black""}},{""sku"":""EB-001-MG"",""price"":""139.99"",""quantity"":""30"",""attributes"":{""color"":""Matte Green""}}]"
"Stainless Steel Water Bottle","Double-wall vacuum insulated water bottle. Keeps drinks cold 24h or hot 12h. BPA-free. 750ml capacity.","Insulated stainless steel bottle","stainless-bottle","WB-001",34.99,29.99,300,0.4,8,28,1,"https://picsum.photos/seed/wb1/600/600","https://picsum.photos/seed/wb2/600/600|https://picsum.photos/seed/wb3/600/600","Home|Kitchen","EcoLife","Summer 2026","eco-friendly|bestseller","{""color"":""Silver,Black,Teal,Pink""}","[{""sku"":""WB-001-SL"",""price"":""34.99"",""quantity"":""40"",""attributes"":{""color"":""Silver""}},{""sku"":""WB-001-BK"",""price"":""34.99"",""quantity"":""35"",""attributes"":{""color"":""Black""}},{""sku"":""WB-001-TL"",""price"":""34.99"",""quantity"":""25"",""attributes"":{""color"":""Teal""}},{""sku"":""WB-001-PK"",""price"":""34.99"",""quantity"":""20"",""attributes"":{""color"":""Pink""}}]"
"Yoga Mat Premium","Extra thick 6mm yoga mat with non-slip surface. Eco-friendly TPE material. Includes carrying strap.","Non-slip 6mm yoga mat","yoga-mat-premium","YM-001",49.99,39.99,120,1.2,61,183,1,"https://picsum.photos/seed/ym1/600/600","https://picsum.photos/seed/ym2/600/600","Sports|Fitness","FlexFit","Summer 2026","exercise|eco-friendly","{""color"":""Purple,Blue,Black,Teal""}","[{""sku"":""YM-001-PU"",""price"":""49.99"",""quantity"":""20"",""attributes"":{""color"":""Purple""}},{""sku"":""YM-001-BL"",""price"":""49.99"",""quantity"":""25"",""attributes"":{""color"":""Blue""}},{""sku"":""YM-001-BK"",""price"":""49.99"",""quantity"":""30"",""attributes"":{""color"":""Black""}},{""sku"":""YM-001-TL"",""price"":""49.99"",""quantity"":""15"",""attributes"":{""color"":""Teal""}}]"
"Organic Green Tea Set","Premium Japanese green tea collection. Includes Matcha, Sencha, and Genmaicha. 100g each. Ceremonial grade.","Japanese green tea gift set","organic-green-tea-set","TE-001",44.99,38.99,90,0.5,15,20,1,"https://picsum.photos/seed/te1/600/600","https://picsum.photos/seed/te2/600/600|https://picsum.photos/seed/te3/600/600","Food & Drink|Tea","TeaMaster","Gourmet","organic|gift","",""
"Mechanical Keyboard RGB","Hot-swappable mechanical keyboard with per-key RGB. Gateron switches. USB-C, PBT keycaps. Full NKRO.","RGB mechanical hot-swap keyboard","mechanical-keyboard-rgb","KB-001",149.99,129.99,75,1.2,44,14,1,"https://picsum.photos/seed/kb1/600/600","https://picsum.photos/seed/kb2/600/600|https://picsum.photos/seed/kb3/600/600","Electronics|Peripherals","TypeCraft","New Arrivals","gaming|mechanical","{""switch"":""Blue,Brown,Red"",""layout"":""ANSI,ISO""}","[{""sku"":""KB-001-BL-AN"",""price"":""149.99"",""quantity"":""10"",""attributes"":{""switch"":""Blue"",""layout"":""ANSI""}},{""sku"":""KB-001-BR-AN"",""price"":""149.99"",""quantity"":""15"",""attributes"":{""switch"":""Brown"",""layout"":""ANSI""}},{""sku"":""KB-001-RD-AN"",""price"":""149.99"",""quantity"":""12"",""attributes"":{""switch"":""Red"",""layout"":""ANSI""}},{""sku"":""KB-001-BR-IS"",""price"":""154.99"",""quantity"":""8"",""attributes"":{""switch"":""Brown"",""layout"":""ISO""}}]"
"Running Shoes Pro","Lightweight performance running shoes with carbon plate. Responsive foam midsole. Breathable mesh upper.","Carbon plate running shoes","running-shoes-pro","RS-001",179.99,149.99,100,0.35,32,12,1,"https://picsum.photos/seed/rs1/600/600","https://picsum.photos/seed/rs2/600/600|https://picsum.photos/seed/rs3/600/600","Sports|Footwear","SpeedGear","Fall 2026","running|new-arrival","{""color"":""Black/White,Blue/Neon,Red/Black"",""size"":""7,8,9,10,11,12,13""}","[{""sku"":""RS-001-BW-9"",""price"":""179.99"",""quantity"":""10"",""attributes"":{""color"":""Black/White"",""size"":""9""}},{""sku"":""RS-001-BW-10"",""price"":""179.99"",""quantity"":""15"",""attributes"":{""color"":""Black/White"",""size"":""10""}},{""sku"":""RS-001-BW-11"",""price"":""179.99"",""quantity"":""12"",""attributes"":{""color"":""Black/White"",""size"":""11""}},{""sku"":""RS-001-BN-9"",""price"":""179.99"",""quantity"":""8"",""attributes"":{""color"":""Blue/Neon"",""size"":""9""}},{""sku"":""RS-001-BN-10"",""price"":""179.99"",""quantity"":""11"",""attributes"":{""color"":""Blue/Neon"",""size"":""10""}},{""sku"":""RS-001-RB-9"",""price"":""179.99"",""quantity"":""6"",""attributes"":{""color"":""Red/Black"",""size"":""9""}},{""sku"":""RS-001-RB-10"",""price"":""179.99"",""quantity"":""9"",""attributes"":{""color"":""Red/Black"",""size"":""10""}}]"
"Cast Iron Skillet","Pre-seasoned 12-inch cast iron skillet. Oven safe to 500F. Even heat distribution. Lifetime durability.","12-inch cast iron skillet","cast-iron-skillet","CK-001",54.99,44.99,65,3.5,30,5,1,"https://picsum.photos/seed/ck1/600/600","https://picsum.photos/seed/ck2/600/600","Home|Cookware","IronChef","Kitchen Essentials","kitchen|durable","",""
"Scented Candle Collection","Set of 3 hand-poured soy wax candles. Vanilla, Lavender, and Sandalwood. 40h burn time each.","Hand-poured soy candle set","scented-candle-collection","CD-001",39.99,32.99,110,0.8,8,10,1,"https://picsum.photos/seed/cd1/600/600","https://picsum.photos/seed/cd2/600/600","Home|Decor","AromaHome","Gourmet","gift|relaxation","",""
"Denim Jacket Classic","Timeless denim jacket with button front. Chest pockets. Slightly oversized fit. Medium wash.","Classic denim jacket","denim-jacket-classic","DJ-001",99.99,84.99,70,0.9,40,28,1,"https://picsum.photos/seed/dj1/600/600","https://picsum.photos/seed/dj2/600/600|https://picsum.photos/seed/dj3/600/600","Apparel|Jackets","DenimPro","Fall 2026","classic|trending","{""size"":""S,M,L,XL,XXL""}","[{""sku"":""DJ-001-S"",""price"":""99.99"",""quantity"":""10"",""attributes"":{""size"":""S""}},{""sku"":""DJ-001-M"",""price"":""99.99"",""quantity"":""15"",""attributes"":{""size"":""M""}},{""sku"":""DJ-001-L"",""price"":""99.99"",""quantity"":""20"",""attributes"":{""size"":""L""}},{""sku"":""DJ-001-XL"",""price"":""99.99"",""quantity"":""12"",""attributes"":{""size"":""XL""}},{""sku"":""DJ-001-XXL"",""price"":""109.99"",""quantity"":""8"",""attributes"":{""size"":""XXL""}}]"
"Smart LED Desk Lamp","Adjustable LED desk lamp with wireless charging base. 5 brightness levels, 3 color temps. Touch control.","LED desk lamp with wireless charger","smart-led-lamp","LP-001",69.99,59.99,140,1.1,20,45,1,"https://picsum.photos/seed/lp1/600/600","https://picsum.photos/seed/lp2/600/600|https://picsum.photos/seed/lp3/600/600","Electronics|Office","BrightLife","New Arrivals","smart|office","",""
"Hiking Backpack 40L","Durable 40-liter hiking backpack with rain cover. Multiple compartments, hydration compatible. Adjustable torso.","40L hiking travel backpack","hiking-backpack-40l","BP-001",89.99,74.99,55,1.1,30,55,1,"https://picsum.photos/seed/bp1/600/600","https://picsum.photos/seed/bp2/600/600","Sports|Outdoor","TrailMaster","Summer 2026","hiking|outdoor","{""color"":""Green,Blue,Grey""}","[{""sku"":""BP-001-GR"",""price"":""89.99"",""quantity"":""12"",""attributes"":{""color"":""Green""}},{""sku"":""BP-001-BL"",""price"":""89.99"",""quantity"":""18"",""attributes"":{""color"":""Blue""}},{""sku"":""BP-001-GY"",""price"":""89.99"",""quantity"":""15"",""attributes"":{""color"":""Grey""}}]"
"Avocado Plush Toy","Super soft avocado plush toy with removable pit. Machine washable. Perfect gift for kids and avocado lovers.","Soft avocado plush with removable pit","avocado-plush-toy","PL-001",19.99,15.99,200,0.2,15,12,1,"https://picsum.photos/seed/pl1/600/600","https://picsum.photos/seed/pl2/600/600","Toys|Plush","FunFactory","Gift Ideas","gift|cute|fun","",""
"Espresso Machine Pro","Semi-automatic espresso machine with 15-bar pump. Built-in grinder, steam wand. PID temp control. Stainless steel.","Semi-auto espresso machine with grinder","espresso-machine-pro","EM-001",399.99,349.99,30,9.5,25,35,1,"https://picsum.photos/seed/em1/600/600","https://picsum.photos/seed/em2/600/600|https://picsum.photos/seed/em3/600/600","Home|Appliances|Coffee","BaristaPro","Gourmet","coffee|premium","",""
"Polarized Sunglasses","UV400 polarized aviator sunglasses. Lightweight titanium frame. Scratch-resistant lens. Includes case.","Premium polarized aviator sunglasses","polarized-sunglasses","SG-001",79.99,64.99,95,0.05,14,5,1,"https://picsum.photos/seed/sg1/600/600","https://picsum.photos/seed/sg2/600/600","Accessories|Eyewear","VisionPlus","Summer 2026","sun|style","{""color"":""Gold/Green,Silver/Blue,Black/Grey""}","[{""sku"":""SG-001-GG"",""price"":""79.99"",""quantity"":""20"",""attributes"":{""color"":""Gold/Green""}},{""sku"":""SG-001-SB"",""price"":""79.99"",""quantity"":""25"",""attributes"":{""color"":""Silver/Blue""}},{""sku"":""SG-001-BG"",""price"":""79.99"",""quantity"":""30"",""attributes"":{""color"":""Black/Grey""}}]"
"Bamboo Cutting Board Set","Set of 3 bamboo cutting boards (S/M/L). Juice groove, easy grip handles. Naturally antimicrobial.","Bamboo cutting board 3-piece set","bamboo-cutting-board-set","CB-001",34.99,28.99,85,1.5,25,40,1,"https://picsum.photos/seed/cb1/600/600","https://picsum.photos/seed/cb2/600/600","Home|Kitchen","EcoLife","Kitchen Essentials","eco-friendly|kitchen","",""